vendor,I1,I2,I3,D1,D2,D3,i_d,cost
V4,0,0,0,Device_H,Device_G,Device_H,0_3,929158.5
V4,0,0,0,Device_H,Device_G,0,0_2,684790.5
V4,0,0,0,Device_H,Device_H,Device_G,0_3,929158.5
V4,0,0,0,Device_H,Device_H,Device_H,0_3,733104
V4,0,0,0,Device_H,Device_H,0,0_2,488736
V4,0,0,0,Device_H,0,Device_G,0_2,684790.5
V4,0,0,0,Device_H,0,Device_H,0_2,488736
V4,0,0,0,Device_H,0,0,0_1,244368
V4,0,0,0,0,Device_G,Device_G,0_2,880845
V4,0,0,0,0,Device_G,Device_H,0_2,684790.5
V4,0,0,0,0,Device_G,0,0_1,440422.5
V4,0,0,0,0,Device_H,Device_G,0_2,684790.5
V4,0,0,0,0,Device_H,Device_H,0_2,488736
V4,0,0,0,0,Device_H,0,0_1,244368
V4,0,0,0,0,0,Device_G,0_1,440422.5
V4,0,0,0,0,0,Device_H,0_1,244368
V4,0,0,0,0,0,0,0_0,0
